year,AQUA_PLANTS,DAIRY,HONEY,MEAT,PORK,POULTRY,SEAFOOD
1961,0.0,148.0,0.0,15.0,3.0,1.0,3.0
1962,0.0,144.0,0.0,15.0,3.0,1.0,3.0
1963,0.0,143.0,0.0,15.0,3.0,1.0,4.0
1964,0.0,139.0,0.0,15.0,3.0,1.0,4.0
1965,0.0,131.0,0.0,15.0,3.0,1.0,4.0
1966,0.0,134.0,0.0,15.0,3.0,1.0,4.0
1967,0.0,125.0,0.0,14.0,3.0,1.0,4.0
1968,0.0,136.0,0.0,14.0,3.0,1.0,4.0
1969,0.0,139.0,0.0,14.0,3.0,1.0,4.0
1970,0.0,128.0,1.0,14.0,3.0,1.0,5.0
1971,0.0,140.0,1.0,14.0,3.0,1.0,5.0
1972,0.0,139.0,0.0,13.0,3.0,1.0,4.0
1973,0.0,138.0,1.0,13.0,3.0,1.0,4.0
1974,0.0,146.0,1.0,13.0,3.0,1.0,4.0
1975,0.0,138.0,1.0,13.0,3.0,1.0,4.0
1976,0.0,147.0,1.0,13.0,3.0,1.0,4.0
1977,0.0,147.0,1.0,13.0,3.0,1.0,5.0
1978,0.0,145.0,0.0,13.0,3.0,1.0,4.0
1979,0.0,149.0,0.0,13.0,3.0,1.0,4.0
1980,0.0,150.0,1.0,13.0,3.0,1.0,4.0
1981,0.0,161.0,1.0,13.0,4.0,1.0,5.0
1982,0.0,177.0,1.0,14.0,4.0,1.0,4.0
1983,0.0,193.0,1.0,14.0,4.0,1.0,5.0
1984,0.0,206.0,1.0,14.0,4.0,1.0,5.0
1985,0.0,217.0,1.0,15.0,4.0,1.0,5.0
1986,0.0,223.0,1.0,15.0,4.0,1.0,5.0
1987,0.0,217.0,0.0,14.0,4.0,1.0,5.0
1988,0.0,212.0,0.0,14.0,4.0,1.0,5.0
1989,0.0,222.0,0.0,14.0,4.0,1.0,6.0
1990,0.0,215.0,0.0,13.0,4.0,2.0,6.0
1991,0.0,208.0,0.0,13.0,4.0,2.0,6.0
1992,0.0,214.0,0.0,13.0,5.0,2.0,6.0
1993,0.0,219.0,0.0,13.0,4.0,2.0,6.0
1994,0.0,221.0,0.0,12.0,4.0,2.0,7.0
1995,0.0,232.0,0.0,12.0,4.0,2.0,6.0
1996,0.0,235.0,0.0,12.0,4.0,2.0,8.0
1997,0.0,237.0,0.0,12.0,4.0,2.0,7.0
1998,0.0,238.0,0.0,12.0,4.0,2.0,8.0
1999,0.0,242.0,0.0,12.0,4.0,3.0,7.0
2000,0.0,231.0,0.0,11.0,4.0,3.0,8.0
2001,0.0,226.0,0.0,11.0,4.0,3.0,8.0
2002,0.0,220.0,0.0,11.0,4.0,4.0,8.0
2003,0.0,221.0,0.0,11.0,4.0,3.0,8.0
2004,0.0,226.0,0.0,11.0,4.0,4.0,8.0
2005,0.0,231.0,0.0,11.0,3.0,4.0,9.0
2006,0.0,240.0,0.0,11.0,3.0,5.0,9.0
2007,0.0,250.0,0.0,11.0,3.0,5.0,9.0
2008,0.0,257.0,0.0,11.0,3.0,5.0,10.0
2009,0.0,260.0,0.0,10.0,3.0,6.0,10.0
