-30%,-10%,same as standard grass,+ 10%,+20%
citrus,cucumber,carrots,barley,paddy rice
olives,radishes,"crucifers (cabbage, cauliflower, broccoli, etc.)",beans,sugarcane
grapes,squash,lettuce,maize,banana
,,melons,flax,nuts & fruit trees with cover crop
,,onions,small grains,
,,peanuts,cotton,
,,peppers,tomato,
,,spinach,eggplant,
,,tea,lentils,
,,grass,millet,
,,cacao,oats,
,,coffee,peas,
,,clean cultivated nuts & fruit trees e.g. apples,potatoes,
,,,safflower,
,,,sorghum,
,,,soybeans,
,,,sugarbeet,
,,,sunflower,
,,,tobacco,
,,,wheat,
